305,130,132,134
262,111,131,139
257,104,123,142
280,87,109,146
291,61,99,148
299,51,89,150
295,54,82,150
294,53,78,153
299,56,79,152
307,64,79,150
316,64,79,147
314,73,82,147
299,89,87,142
282,107,92,143
284,110,94,142
284,110,94,143
281,105,95,141
267,109,98,138
258,111,99,136
245,103,101,135
234,94,102,134
230,88,98,130
223,90,103,130
211,101,104,129
202,110,103,125
201,112,105,123
203,121,102,120
200,133,105,119
200,145,104,115
193,162,103,110
189,170,103,108
200,177,99,106
204,185,99,101
199,193,100,100
197,198,98,94
205,197,98,94
208,183,98,95
206,170,96,95
211,167,95,95
217,165,91,94
219,158,89,94
222,149,88,93
232,147,84,92
237,148,83,91
238,149,80,90
245,142,78,90
252,135,75,91
251,130,74,92
242,128,73,94
243,109,70,90
234,94,71,89
227,92,70,86
226,85,69,85
232,65,69,84
239,58,69,83
234,65,69,81
228,66,69,81
236,64,68,81
238,74,68,81
232,94,68,81
230,106,69,81
228,115,67,80
226,127,68,78
226,124,68,77
208,123,70,78
194,116,73,77
190,91,72,77
179,79,74,78
165,86,75,77
145,96,82,77
130,87,85,82
128,75,88,85
132,70,88,86
130,68,89,86
131,69,90,88
129,79,91,91
134,81,90,92
143,84,89,91
148,87,87,90
149,79,84,91
146,89,83,91
142,103,82,90
136,98,82,91
138,86,81,91
142,84,81,89
145,88,80,88
148,88,81,89
151,91,82,88
157,95,84,87
163,99,86,87
166,106,87,87
173,114,88,87
177,119,90,86
186,122,91,87
193,126,93,85
188,138,93,85
184,148,92,83
186,142,93,83
188,130,94,81
180,126,95,80
170,122,95,80
169,118,95,80
170,117,95,81
168,119,94,83
166,121,94,84
162,124,95,86
158,132,95,86
158,130,97,88
168,119,97,89
183,110,98,91
174,104,98,92
163,95,99,94
159,79,101,96
153,62,102,97
132,52,105,98
112,45,106,100
108,36,107,101
116,31,109,101
118,40,111,102
103,49,113,103
88,54,115,105
91,67,118,106
102,78,120,107
107,82,123,109
107,86,126,110
104,83,129,111
105,80,131,113
117,78,132,114
125,71,135,116
124,68,137,119
119,70,140,121
119,70,140,121
119,66,144,123
121,63,143,125
114,61,145,126
109,57,146,127
113,56,148,129
115,59,150,130
112,63,151,131
112,69,153,132
119,74,154,133
124,73,155,135
120,63,157,135
126,58,157,136
143,48,157,138
145,47,159,138
132,49,160,139
124,51,161,140
132,51,162,142
141,56,162,143
138,65,163,144
132,73,164,145
130,78,165,147
136,81,166,150
144,87,169,150
154,91,168,150
143,91,170,152
128,99,171,154
137,100,171,155
150,91,173,156
154,81,175,156
143,73,176,156
131,74,177,157
134,79,178,158
146,80,178,157
154,76,178,159
154,75,180,160
151,75,182,161
148,78,184,162
138,79,186,164
131,86,186,163
129,87,187,165
122,86,189,167
119,92,191,165
121,95,190,167
121,95,192,167
116,93,191,167
113,92,192,167
121,90,192,167
129,86,192,167
131,88,191,166
127,88,192,167
128,85,192,168
130,83,191,167
126,84,193,167
121,83,194,168
121,80,193,169
122,80,194,168
123,82,193,168
122,84,193,169
119,88,194,169
118,93,193,170
119,94,194,169
121,94,193,169
120,96,193,168
121,95,194,169
