139,26,85,67
118,38,81,70
89,56,87,75
69,59,86,89
51,59,83,88
43,66,73,83
42,80,64,81
43,90,69,79
42,98,86,82
74,105,80,69
88,88,96,80
123,76,78,83
151,80,75,84
177,84,69,81
183,80,89,94
202,83,94,83
216,86,96,84
210,80,97,99
222,86,78,90
238,89,85,91
255,93,94,93
265,104,90,85
276,118,74,74
277,125,72,73
279,116,73,82
268,102,79,87
256,94,70,77
235,84,69,80
205,78,79,83
194,83,79,77
192,92,76,69
190,102,70,62
177,104,68,58
162,99,67,68
153,95,67,69
143,93,61,68
133,94,57,64
127,94,54,61
123,92,61,63
125,86,63,64
129,80,65,62
135,87,59,53
139,95,57,51
145,95,61,58
160,94,58,56
174,98,53,49
181,97,58,56
206,98,48,55
214,99,54,59
222,99,58,60
224,98,57,59
